Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Affordable Parking - Liverpool RV Park,Parking,Mobile,400,0.0,60.0,12.0,0.0,0.0,0.0,Comes With Land,"Pearland, Texas, United States",https://tinyhouselistings.com/listings/liverpool-rv-park-your-new-home,Pearland,Texas,United States,12.0,0.0,4.0
Super Cute Remodeled Vintage Class C Hornet,RV,Mobile,45000,216.0,27.0,8.0,1.0,1.0,1.0,Delivery Available,"Yuma , Arizona, United States",https://tinyhouselistings.com/listings/super-cute-remodeled-vintage-class-c-hornet,Yuma ,Arizona,United States,7.0,0.0,15.0
Custom RVIA Tumbleweed Cypress 24',Tiny House,Mobile,60000,192.0,24.0,8.5,1.0,1.0,2.0,Used,"Birmingham, Alabama, United States",https://tinyhouselistings.com/listings/custom-rvia-tumbleweed-cypress-24-tiny_house,Birmingham,Alabama,United States,14.0,0.0,25.0
20' Tiny House Model With Sleeping Downstairs,Tiny House,Mobile,40000,160.0,20.0,8.0,1.0,1.0,0.0,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/20-tiny-house-model-with-sleeping-downstairs-tiny_house,Spring City,Tennessee,United States,14.0,0.0,41.0
Adorable 24' Boho Cottage Model,Tiny House,Mobile,50000,192.0,26.0,8.0,1.0,1.0,1.0,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/adorable-24-boho-cottage-model-tiny_house,Spring City,Tennessee,United States,14.0,0.0,37.0
Family Bus,Converted Bus,Mobile,13000,300.0,38.0,10.0,1.0,1.0,0.0,Used,"Mesa, Arizona, United States",https://tinyhouselistings.com/listings/family-bus,Mesa,Arizona,United States,15.0,0.0,38.0
Tiny house shell,Tiny House Shell,Mobile,19000,192.0,24.0,8.0,1.0,1.0,2.0,New,"Wimberley , Texas, United States",https://tinyhouselistings.com/listings/tiny-house-shell-4adeb61c-b325-4244-b1b0-880c119cc48d,Wimberley ,Texas,United States,15.0,0.0,18.0
Craftsman Style Tiny Home,Tiny House,Mobile,29500,150.0,18.0,8.5,0.0,0.0,1.0,New,"Grants Pass, Oregon, United States",https://tinyhouselistings.com/listings/craftsman-style-tiny-home-tiny_house,Grants Pass,Oregon,United States,15.0,0.0,40.0
Awesome 20' Tiny House,Tiny House,Mobile,25000,160.0,20.0,8.6,1.0,1.0,1.0,Delivery Available,"Royal Palm Beach, Florida, United States",https://tinyhouselistings.com/listings/awesome-20-tiny-home-ready-for-you-to-add-your-personal-touch-within-2-weeks,Royal Palm Beach,Florida,United States,14.0,0.0,23.0
Remodeled 2011 RV Home with 4 bunks and 1 Master Suite,RV,Mobile,39000,370.0,37.0,9.0,3.0,2.0,0.0,Delivery Available,"Anaheim , California, United States",https://tinyhouselistings.com/listings/remodeled-2011-rv-home-with-4-bunks-and-1-master-suite,Anaheim ,California,United States,15.0,0.0,60.0
Adorable Certified Tiny With Downstairs sleeping,Tiny House,Mobile,40000,200.0,20.0,8.0,0.0,1.0,1.0,Delivery Available,"Sanford, Florida, United States",https://tinyhouselistings.com/listings/adorable-certified-tiny-with-downstairs-sleeping,Sanford,Florida,United States,16.0,0.0,69.0
Health Conscious Tiny House For Sale!,Tiny House,Mobile,22000,136.0,18.0,7.6,1.0,1.0,0.0,Delivery Available,"Mccloud, California, United States",https://tinyhouselistings.com/listings/health-conscious-tiny-house-for-sale,Mccloud,California,United States,16.0,0.0,36.0
"Off Grid, Escape One Tiny House - 2 Bedrooms!",Tiny House,Mobile,78000,213.0,25.0,8.5,2.0,1.0,2.0,Dual Lofts,"Evergreen, Colorado, United States",https://tinyhouselistings.com/listings/off-grid-escape-one-tiny-house-2-bedrooms,Evergreen,Colorado,United States,17.0,0.0,109.0
Adventure Ready- Remodeled 36' Class A Coachman,RV,Mobile,54000,324.0,36.0,8.0,4.0,1.0,0.0,Used,"Georgetown, South Carolina, United States",https://tinyhouselistings.com/listings/adventure-ready-remodeled-36-class-a-coachman,Georgetown,South Carolina,United States,17.0,0.0,83.0
Matilda - B-Hotel is the new campervan,Converted Bus,Mobile,65000,200.0,25.0,8.0,2.0,1.0,1.0,Used,"las vegas, Nevada, United States",https://tinyhouselistings.com/listings/matilda-b-hotel-is-the-tiny-house,las vegas,Nevada,United States,17.0,0.0,93.0
Newly Constructed Tiny House Shell,Tiny House,Mobile,20000,272.0,22.0,8.5,0.0,0.0,0.0,New,"Eugene, Oregon, United States",https://tinyhouselistings.com/listings/newly-constructed-tiny-house-shell,Eugene,Oregon,United States,17.0,0.0,40.0
288 Sq Ft Off Grid Tiny House includes all solar,Tiny House,Mobile,22000,288.0,24.0,12.0,1.0,1.0,0.0,New,"PAMPLIN, Virginia, United States",https://tinyhouselistings.com/listings/288-sq-foot-off-grid-tiny-house,PAMPLIN,Virginia,United States,17.0,0.0,46.0
Tiny Mobile Retail Shoppe,Tiny House,Mobile,21500,126.0,18.0,7.0,0.0,0.0,0.0,Delivery Available,"Lansing, New York, United States",https://tinyhouselistings.com/listings/tiny-mobile-retail-shoppe,Lansing,New York,United States,19.0,0.0,19.0
Classic Wanderlodge Conversion,Converted Bus,Mobile,45000,228.0,32.0,7.58,1.0,1.0,0.0,Used,"Jacksonville, Florida, United States",https://tinyhouselistings.com/listings/classic-1971-wanderlodge-conversion,Jacksonville,Florida,United States,17.0,0.0,59.0
"Spacious, Western Style Modular Tiny House",Tiny House,Mobile,45500,270.0,24.0,16.0,3.0,1.0,2.0,Used,"Montrose, Colorado, United States",https://tinyhouselistings.com/listings/spacious-western-style-modular-tiny-house,Montrose,Colorado,United States,20.0,0.0,63.0
Modern European Style Container House,Container Home,Mobile,45000,160.0,20.0,8.0,0.0,1.0,0.0,Delivery Available,"Mobile, Alabama, United States",https://tinyhouselistings.com/listings/modern-european-style-container-house,Mobile,Alabama,United States,20.0,0.0,33.0
Flat Top Insulated Building 16x10 SheShed/Cabin/Office/Man Cave,Tiny House Shell,Stationary,4309,160.0,16.0,10.0,0.0,0.0,0.0,New,"Commerce, California, United States",https://tinyhouselistings.com/listings/flat-top-insulated-building-16x10-sheshed-cabin-office-man-cave,Commerce,California,United States,20.0,0.0,6.0
The Cypress Shack,Tiny House,Mobile,40000,144.0,18.0,8.0,1.0,1.0,2.0,Used,"New Iberia , Louisiana, United States",https://tinyhouselistings.com/listings/the-cypress-shack,New Iberia ,Louisiana,United States,21.0,0.0,73.0
NEW Modern 32' Tiny Home with Designer Details,Tiny House,Mobile,89500,272.0,32.0,8.5,1.0,1.0,0.0,New,"Dripping Springs, Texas, United States",https://tinyhouselistings.com/listings/brand-new-modern-32-tiny-home-with-designer-details,Dripping Springs,Texas,United States,21.0,0.0,108.0
Turtleback Shack,Tiny House Shell,Mobile,25000,80.0,10.0,9.0,0.0,0.0,0.0,Delivery Available,"OVERLAND PARK, Kansas, United States",https://tinyhouselistings.com/listings/turtleback-shack,OVERLAND PARK,Kansas,United States,21.0,0.0,11.0
Tiny house on wheels,Tiny House,Mobile,79000,230.0,20.0,8.5,1.0,1.0,1.0,New,"Webster, Massachusetts, United States",https://tinyhouselistings.com/listings/tiny-house-on-wheels-7e1c1450-61eb-4418-865b-2fe29b823362,Webster,Massachusetts,United States,21.0,0.0,79.0
Stone Mountain 16' Tiny House,Tiny House,Mobile,33000,128.0,16.0,8.0,1.0,1.0,1.0,New,"Stone Mountain, Georgia, United States",https://tinyhouselistings.com/listings/stone-mountain-16-tiny-house,Stone Mountain,Georgia,United States,23.0,0.0,70.0
Slice of Freedom- 19' Luxurious Tiny House,Tiny House,Mobile,47500,161.0,19.0,8.5,1.0,1.0,0.0,Square Feet,"Ponte Vedra Beach, Florida, United States",https://tinyhouselistings.com/listings/slice-of-freedom-19-luxurious-tiny-house,Ponte Vedra Beach,Florida,United States,23.0,0.0,43.0
2019. Elm Equator,Tiny House,Mobile,79000,260.0,26.0,8.0,2.0,1.0,1.0,Square Feet,"Hastings, Florida, United States",https://tinyhouselistings.com/listings/2019-elm-equator-tiny_house,Hastings,Florida,United States,23.0,0.0,5.0
Teeny-Tiny House Waiting for Your Finishing Touch,Tiny House,Mobile,15000,93.0,14.0,6.0,0.0,1.0,2.0,New,"Daytona Beach, Florida, United States",https://tinyhouselistings.com/listings/teeny-tiny-house-waiting-for-your-finishing-touch,Daytona Beach,Florida,United States,23.0,0.0,80.0
New Handcrafted Custom Designed Tiny Home,Tiny House,Mobile,85000,140.0,23.0,8.0,0.0,1.0,1.0,Delivery Available,"Incline Village, Nevada, United States",https://tinyhouselistings.com/listings/new-handcrafted-custom-designed-tiny-home,Incline Village,Nevada,United States,19.0,0.0,29.0
New Tiny House With Many Reclaimed Materials Included,Tiny House,Mobile,27000,158.0,7.5,21.0,0.0,1.0,2.0,New,"Greer, South Carolina, United States",https://tinyhouselistings.com/listings/new-tiny-house-lots-of-reclaimed-materials-included,Greer,South Carolina,United States,24.0,0.0,57.0
New 500 Square Feet Tiny House In Waterfront Community,Park Model,Mobile,49900,498.0,47.0,14.0,1.0,1.0,0.0,New,"Crescent City, Florida, United States",https://tinyhouselistings.com/listings/new-500-square-feet-tiny-house-in-waterfront-community,Crescent City,Florida,United States,26.0,0.0,86.0
Custom Solar Tiny Home,Tiny House,Mobile,115000,325.0,37.0,8.6,1.0,1.0,2.0,Dual Lofts,"Knoxville, Tennessee, United States",https://tinyhouselistings.com/listings/custom-solar-tiny-home-tiny_house,Knoxville,Tennessee,United States,26.0,0.0,138.0
Tiny Modern Farmhouse,Tiny House,Mobile,55000,238.0,28.0,8.5,0.0,1.0,2.0,Used,"Hutto, Texas, United States",https://tinyhouselistings.com/listings/tiny-modern-farmhouse-tiny_house_trailer-purchase,Hutto,Texas,United States,27.0,0.0,57.0
Tiny House Shell San Diego,Tiny House,Mobile,18000,220.0,20.4,8.4,1.0,1.0,1.0,Square Feet,"San Diego, California, United States",https://tinyhouselistings.com/listings/tiny-house-shell-san-diego-tiny_house,San Diego,California,United States,27.0,0.0,20.0
Bus conversion,Converted Bus,Mobile,32000,100.0,14.0,8.0,1.0,1.0,0.0,Used,"Los Angeles, California, United States",https://tinyhouselistings.com/listings/bus-conversion-converted_bus,Los Angeles,California,United States,28.0,0.0,70.0
Luxurious THOW 24ft,Tiny House,Mobile,80000,331.0,24.0,8.5,1.0,1.0,1.0,New,"Hoodsport, Washington, United States",https://tinyhouselistings.com/listings/luxurious-thow-28ft,Hoodsport,Washington,United States,8.0,0.0,62.0
3yr old Tiny Home near Tampa. FL,Tiny House,Mobile,55000,260.0,,,0.0,1.0,1.0,Used,"Ruskin, Florida, United States",https://tinyhouselistings.com/listings/3yr-old-tiny-home-near-tampa-fl,Ruskin,Florida,United States,28.0,0.0,16.0
