Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Flat-nose Thomas Bus Full Skoolie Conversion READY JANUARY,Converted Bus,Mobile,42935,285.0,38.0,8.0,1,1,1,Delivery Available,"San Antonio , Texas, United States",https://tinyhouselistings.com/listings/flat-nose-thomas-bus-full-skoolie-conversion-ready-january,San Antonio ,Texas,United States,24,0,4.0
Blue Magnolia 28' Tiny House,Tiny House,Mobile,99900,238.0,28.0,8.5,2,1,2,New,"Durango, Colorado, United States",https://tinyhouselistings.com/listings/blue-magnolia-28-tiny-house,Durango,Colorado,United States,24,0,144.0
The Horizon 28' tiny house with 2 extended lofts to 35' with a roof deck and 2 showers,Tiny House,Mobile,85000,224.0,28.0,8.5,1,1,2,Delivery Available,"Moreno valley , California, United States",https://tinyhouselistings.com/listings/28-tiny-house-with-2-extended-lofts-to-35,Moreno valley ,California,United States,20,0,53.0
Awesome 24' Tiny Home Ready For You To Add Your Personal Touch,Tiny House,Mobile,28000,204.0,24.0,8.5,1,1,1,Delivery Available,"Royal Palm Beach, Florida, United States",https://tinyhouselistings.com/listings/new-24-tiny-home-with-loft-under-construction-will-be-finished-and-ready-for-delivery-this-week,Royal Palm Beach,Florida,United States,25,0,49.0
Awesome 24FT Tiny House on Wheels (Custom/Rustic),Tiny House,Mobile,7700,192.0,24.0,8.0,1,1,0,Used,"Fisher, West Virginia, United States",https://tinyhouselistings.com/listings/awesome-24ft-tiny-house-on-wheels-custom-rustic,Fisher,West Virginia,United States,26,0,27.0
Tiny House With Master Bedroom + 2 Lofts,Tiny House,Mobile,55000,240.0,24.0,8.0,1,1,2,Delivery Available,"Boise, Idaho, United States",https://tinyhouselistings.com/listings/tiny-house-with-master-bedroom-2-lofts,Boise,Idaho,United States,27,0,145.0
Extremely Affordable 20' New Tiny House,Tiny House,Mobile,35000,160.0,20.0,8.0,1,1,1,Delivery Available,"Boise, Idaho, United States",https://tinyhouselistings.com/listings/extremely-affordable-20-new-tiny-house,Boise,Idaho,United States,27,0,167.0
A Fresh Adventure,Tiny House,Mobile,50000,160.0,20.0,8.0,1,1,1,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/a-fresh-adventure-tiny_house,Spring City,Tennessee,United States,27,0,69.0
TheKastleOnWheels,Converted Bus,Mobile,75000,325.0,40.0,8.0,1,1,0,Delivery Available,"Gilroy, California, United States",https://tinyhouselistings.com/listings/thekastleonwheels,Gilroy,California,United States,27,0,102.0
Comfortable Cozy 24' Tiny House (Entirely Off Grid),Tiny House,Mobile,68000,204.0,24.0,8.6,1,2,2,Delivery Available,"San Diego, California, United States",https://tinyhouselistings.com/listings/comfortable-cozy-24-tiny-house-entirely-off-grid,San Diego,California,United States,28,0,50.0
2018 Custom built 8’ x 20’ tiny home on wheels,Tiny House,Mobile,35000,160.0,20.0,8.0,1,1,1,Used,"Charleston , South Carolina, United States",https://tinyhouselistings.com/listings/custom-built-8-x-20-tiny-home-on-wheels,Charleston ,South Carolina,United States,28,0,115.0
Permanent Tiny House On Foundation. Tiny Simplicity.,Tiny House,Stationary,55000,160.0,16.0,10.0,1,1,1,New,"Trinidad, California, United States",https://tinyhouselistings.com/listings/permanent-tiny-house-on-foundation-simplicity,Trinidad,California,United States,28,0,44.0
8x24 Tiny House Ready For The Simple Life,Tiny House,Mobile,55000,192.0,24.0,8.0,2,1,1,Delivery Available,"Linden, Tennessee, United States",https://tinyhouselistings.com/listings/8x24-tiny-house-ready-for-the-simple-life,Linden,Tennessee,United States,29,0,25.0
